Statename,CourseofStudy,ClassOfGrade,Date of Graduation,MaritalStatus,Gender,DateOfBirth,College,DeptmentCode
Lagos State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,1999-03-10,COLANIM,ABG
Ondo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1999-03-23,COLAMRUD,AEFM
Ogun State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,2002-02-08,COLENG,ELE
Ogun State,MICROBIOLOGY/B.Sc.,First Class,NA,S,F,1997-10-26,COLBIOS,MCB
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-10-04,COLANIM,APH
Oyo State,NUTRITION AND DIETETICS/B.Sc.,First Class,NA,S,F,1999-06-17,COLFHEC,NUD
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-10-01,COLANIM,ABG
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1997-07-08,COLANIM,APH
Lagos State,HOME SCIENCE AND MANAGEMENT(CLOTHING & TEXTILE)/B.Sc.,First Class,NA,S,F,2000-12-04,COLFHEC,HSM
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-10-28,COLANIM,PRM
Ogun State,MICROBIOLOGY/B.Sc.,First Class,NA,S,F,2004-09-28,COLBIOS,MCB
Ogun State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,First Class,NA,S,M,2001-02-01,COLERM,AQFM
Ogun State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,2001-06-09,COLENG,ELE
Ogun State,MECHATRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,2002-04-04,COLENG,MTE
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2001-05-23,COLAMRUD,AEFM
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-10-13,COLANIM,ABG
Lagos State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,First Class,NA,S,M,2001-03-07,COLENG,ABE
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,1999-12-30,COLANIM,APH
Ekiti State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1998-08-23,COLANIM,APH
Oyo State,BIOCHEMISTRY/B.SC.,First Class,NA,S,F,1998-05-01,COLBIOS,BCH
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2002-04-27,COLAMRUD,AEFM
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-12-31,COLAMRUD,AEFM
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2002-06-20,COLANIM,ANN
Lagos State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,First Class,NA,S,M,1999-03-22,COLENG,ABE
Ondo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-04-29,COLANIM,APH
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2001-05-28,COLANIM,APH
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2003-04-15,COLAMRUD,AGAD
Ogun State,MICROBIOLOGY/B.Sc.,First Class,NA,S,F,2003-12-24,COLBIOS,MCB
Oyo State,MICROBIOLOGY/B.Sc.,First Class,NA,S,M,2002-04-20,COLBIOS,MCB
Ogun State,WATER RESOURCES MANAGEMENT AND AGROMETEOROLOGY (HYDROLOGY OPTION)/B.WRMA,First Class,NA,S,M,2002-06-28,COLERM,WMA
Ogun State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,First Class,NA,S,F,2001-05-24,COLFHEC,FST
Ogun State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,2002-07-04,COLENG,ELE
Lagos State,MICROBIOLOGY/B.Sc.,First Class,NA,S,F,1998-08-10,COLBIOS,MCB
Oyo State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1999-07-09,COLPLANT,PPCP
Lagos State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2000-06-04,COLANIM,ANN
Lagos State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2000-01-22,COLPLANT,CPT
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,1998-08-10,COLAMRUD,AERD
Kwara State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,First Class,NA,S,M,2000-07-21,COLENG,ABE
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,F,2001-10-17,COLAMRUD,AEFM
Ogun State,VETERINARY MEDICINE/DVM,First Class,NA,S,M,2000-12-07,COLVET,VET
Oyo State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,First Class,NA,S,M,1999-11-13,COLENG,ABE
Lagos State,MECHATRONICS ENGINEERING/B.ENGR.,First Class,NA,S,M,1998-09-17,COLENG,MTE
Ogun State,AGRICULTURE/B.AGRIC.,First Class,NA,S,M,2000-12-29,COLANIM,ABG
Oyo State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,First Class,NA,S,M,2000-03-27,COLERM,AQFM
